Date,Rate,Month,Year
2022-01-01,33.1851,1,2022
2022-01-02,33.1916,1,2022
2022-01-03,33.2699,1,2022
2022-01-04,33.2486,1,2022
2022-01-05,33.2437,1,2022
2022-01-06,33.5681,1,2022
2022-01-07,33.6292,1,2022
2022-01-08,33.6109,1,2022
2022-01-09,33.6254,1,2022
2022-01-10,33.6297,1,2022
2022-01-11,33.3181,1,2022
2022-01-12,33.2786,1,2022
2022-01-13,33.2171,1,2022
2022-01-14,33.1761,1,2022
2022-01-15,33.1743,1,2022
2022-01-16,33.1847,1,2022
2022-01-17,33.0914,1,2022
2022-01-18,33.0602,1,2022
2022-01-19,32.9372,1,2022
2022-01-20,32.8784,1,2022
2022-01-21,32.9132,1,2022
2022-01-22,32.8992,1,2022
2022-01-23,32.9144,1,2022
2022-01-24,33.0105,1,2022
2022-01-25,33.0073,1,2022
2022-01-26,33.1222,1,2022
2022-01-27,33.2892,1,2022
2022-01-28,33.3904,1,2022
2022-01-29,33.391,1,2022
2022-01-30,33.3971,1,2022
2022-01-31,33.2416,1,2022
2022-02-01,33.1972,2,2022
2022-02-02,33.1142,2,2022
2022-02-03,33.0996,2,2022
2022-02-04,32.9667,2,2022
2022-02-05,32.9672,2,2022
2022-02-06,33.0035,2,2022
2022-02-07,32.9431,2,2022
2022-02-08,32.8626,2,2022
2022-02-09,32.7246,2,2022
2022-02-10,32.7136,2,2022
2022-02-11,32.7163,2,2022
2022-02-12,32.7171,2,2022
2022-02-13,32.7067,2,2022
2022-02-14,32.4405,2,2022
2022-02-15,32.36,2,2022
2022-02-16,32.2923,2,2022
2022-02-17,32.1288,2,2022
2022-02-18,32.1545,2,2022
2022-02-19,32.1572,2,2022
2022-02-20,32.1697,2,2022
2022-02-21,32.2578,2,2022
2022-02-22,32.4068,2,2022
2022-02-23,32.2829,2,2022
2022-02-24,32.5173,2,2022
2022-02-25,32.4593,2,2022
2022-02-26,32.4428,2,2022
2022-02-27,32.7179,2,2022
2022-02-28,32.6662,2,2022
2022-03-01,32.7342,3,2022
2022-03-02,32.5034,3,2022
2022-03-03,32.5684,3,2022
2022-03-04,32.6853,3,2022
2022-03-05,32.6962,3,2022
2022-03-06,32.8503,3,2022
2022-03-07,33.0062,3,2022
2022-03-08,33.1971,3,2022
2022-03-09,33.0046,3,2022
